LEVEL ,       OURS  ,  BEST FROM 2018  POINTS,POINTS,,,,
,,,,,,,
SABeTrayEd,240,234,0.975,,,,
SAMagicians,568,397,0.698943662,,,POINTS SA,11.0257490272
SAByteMe,1314,970,0.7382039574,,,POINTS MA ,13.9773154372
SAAiAiCap,306,70,0.2287581699,,,,
SALobot,99,75,0.7575757576,,,,
SAEasyPeasy,579,604,1.0431778929,,,,
SAGreenDots,241,187,0.77593361,,,,
SANotHard,154,150,0.974025974,,,,
SAbongu,80,80,1,,,,
SAAntsStar,240,238,0.9916666667,,,,
SABahaMAS,92,90,0.9782608696,,,,
SAora,305,199,0.6524590164,,,,
SAPushPush,1080,770,0.712962963,,,,
SAbAnAnA,820,409,0.4987804878,,,,
MAAiAiCap,114,114,1,,,,
MALobot,143,131,0.9160839161,,,,
MAGreenDots,107,113,1.0560747664,,,,
MAKaldi,320,133,0.415625,,,,
MAKJFWAOL,19,15,0.7894736842,,,,
MAAlphaOne,476,467,0.981092437,,,,
MANotHard,84,58,0.6904761905,,,,
MAByteMe,165,131,0.7939393939,,,,
MAPushPush,197,147,0.7461928934,,,,
MAMagicians,66,61,0.9242424242,,,,
MABeTrayEd,190,188,0.9894736842,,,,
MAora,84,82,0.9761904762,,,,
MABahaMAS,66,64,0.9696969697,,,,
MAEasyPeasy,41,44,1.0731707317,,,,
MAbAnAnA,131,77,0.5877862595,,,,
MAbongu,59,63,1.0677966102,,,,
